T [°R],Density [lbm/ft³],Viscosity [poise],Cp [BTU/lbm-°R],Conductivity [BTU/hr-ft-°F],Surface Tension [lbf/in],dHvap [BTU/lbm]
100.0,81.41865241447748,0.007541455517117112,0.3998847923833482,0.11577169137663958,7.52226710455e-05,104.02768248727367
100.35070140280561,81.36853996275778,0.007463920437405972,0.3998820506261639,0.11561256063500491,7.52226710455e-05,103.963343420375
100.70140280561122,81.31833711614645,0.007387447429323975,0.3998795705052913,0.1154533928659862,7.52226710455e-05,103.89897152080617
101.05210420841684,81.26804409135379,0.007312021645131918,0.39987733890075017,0.11529418808242904,7.52226710455e-05,103.83456681336953
101.40280561122245,81.217661105103,0.007237628455432825,0.39987534269256003,0.11513494629717905,7.52226710455e-05,103.77012932286732
101.75350701402806,81.16718837413063,0.0071642534461045515,0.39987356876074054,0.11497566752308183,7.52226710455e-05,103.7056590741018
102.10420841683367,81.11662611518635,0.0070918824152731924,0.39987200398531136,0.11481635177298295,7.52226710455e-05,103.64115609187527
102.45490981963928,81.06597454503294,0.007020501370326979,0.399870635246292,0.11465699905972805,7.52226710455e-05,103.57662040099004
102.8056112224449,81.01523388044642,0.006950096524970184,0.3998694494237023,0.11449760939616273,7.52226710455e-05,103.51205202624831
103.15631262525051,80.9644043382159,0.006880654296316629,0.3998684333975617,0.11433818279513255,7.52226710455e-05,103.44745099245243
103.50701402805612,80.91348613514371,0.0068121613020223045,0.3998675740478899,0.11417871926948313,7.52226710455e-05,103.38281732440464
103.85771543086173,80.86247948804531,0.006744604357456965,0.3998668582547065,0.11401921883206009,7.52226710455e-05,103.31815104690722
104.20841683366733,80.81138461374931,0.006677970472913804,0.3998662728980312,0.113859681495709,7.52226710455e-05,103.25345218476248
104.55911823647294,80.7602017290976,0.006612246850857333,0.39986580485788364,0.11370010727327551,7.52226710455e-05,103.18872076277265
104.90981963927855,80.7089310509451,0.006547420883208694,0.3998654410142834,0.11354049617760516,7.52226710455e-05,103.12395680574005
105.26052104208416,80.65757279615995,0.006483480148668085,0.39986516824725016,0.11338084822154358,7.52226710455e-05,103.05916033846692
105.61122244488978,80.60612718162352,0.006420412410073992,0.3998649734368035,0.11322116341793637,7.52226710455e-05,102.9943313857556
105.96192384769539,80.55459442423027,0.006358205611798668,0.3998648434629631,0.11306144177962912,7.52226710455e-05,102.92946997240831
106.312625250501,80.50297474088786,0.0062968478771796435,0.3998647652057486,0.11290168331946744,7.52226710455e-05,102.86457612322734
106.66332665330661,80.45126834851716,0.006236327505986641,0.39986472554517954,0.11274188805029693,7.52226710455e-05,102.79964986301496
107.01402805611222,80.39947546405212,0.006176632971923734,0.3998647113612756,0.1125820559849632,7.52226710455e-05,102.73469121657351
107.36472945891784,80.34759620920757,0.006117752809262165,0.3998647214700028,0.11242218707249024,7.52226710455e-05,102.66970020955563
107.71543086172345,80.29560058187953,0.006059640245672259,0.39986856767321455,0.11226226117536811,7.52226710455e-05,102.60467711659444
108.06613226452906,80.24346841008601,0.006002258668279087,0.3998789631751811,0.112102265105584,7.52226710455e-05,102.53962205309115
108.41683366733467,80.19120527236787,0.005945601180613334,0.3998954234229823,0.11194220301240738,7.52226710455e-05,102.47453488861922
108.76753507014028,80.138816747605,0.005889660918797719,0.3999174638636979,0.11178207904510765,7.52226710455e-05,102.40941549275209
109.1182364729459,80.08630841501606,0.005834431052885563,0.39994459994440773,0.11162189735295427,7.52226710455e-05,102.3442637350632
109.46893787575151,80.03368585415868,0.005779904788152529,0.39997634711219165,0.11146166208521673,7.52226710455e-05,102.27907948512599
109.81963927855712,79.9809546449293,0.005726075366342755,0.40001222081412946,0.11130137739116439,7.52226710455e-05,102.21386261251392
110.17034068136273,79.92812036756347,0.005672936066870103,0.40005173649730086,0.11114104742006677,7.52226710455e-05,102.14861298680043
110.52104208416834,79.87518860263557,0.005620480207975699,0.4000944096087859,0.11098067632119327,7.52226710455e-05,102.08333047755897
110.87174348697394,79.82216493105908,0.005568701147842457,0.40013975559566417,0.11082026824381333,7.52226710455e-05,102.01801495436298
111.22244488977955,79.76905493408643,0.005517592285667928,0.4001872899050157,0.11065982733719641,7.52226710455e-05,101.95266628678593
111.57314629258516,79.71574717455678,0.005467147062696043,0.4002365279839201,0.11049935775061195,7.52226710455e-05,101.88728434440122
111.92384769539078,79.6623396990824,0.005417358963208975,0.40028698527945733,0.1103388636333294,7.52226710455e-05,101.82186899678234
112.27454909819639,79.60887126173934,0.005368221515479821,0.4003381772387072,0.11017834913461819,7.52226710455e-05,101.75642011350273
112.625250501002,79.55534736375215,0.005319728292687359,0.40038961930874944,0.11001781840374777,7.52226710455e-05,101.69093756413581
112.97595190380761,79.50177350678383,0.0052718729137934146,0.400440826936664,0.10985727558998758,7.52226710455e-05,101.62542121825504
113.32665330661322,79.44815519294224,0.005224649044384099,0.40049131556953055,0.10969672484260708,7.52226710455e-05,101.55987094543389
113.67735470941884,79.39449792478608,0.005178050397475607,0.40054060065442904,0.10953617031087569,7.52226710455e-05,101.49428661524577
114.02805611222445,79.3408072053311,0.005132070734285651,0.40058819763843917,0.10937561614406285,7.52226710455e-05,101.42866809726415
114.37875751503006,79.28708853805597,0.0050867038649712,0.4006336219686409,0.10921506649143806,7.52226710455e-05,101.36301526106246
114.72945891783567,79.23334742690808,0.0050419436493336816,0.40067638909211395,0.10905452550227066,7.52226710455e-05,101.29732797621416
115.08016032064128,79.17958937630948,0.00499778399749235,0.4007160144559381,0.10889399732583019,7.52226710455e-05,101.2316061122927
115.4308617234469,79.12581989116241,0.004954218870526714,0.4007520135071933,0.10873348611138604,7.52226710455e-05,101.16584953887148
115.78156312625251,79.07204447685501,0.004911242281088925,0.4007839016929593,0.10857299600820768,7.52226710455e-05,101.10005812552403
116.13226452905812,79.01826863926675,0.004868848293987008,0.4008111944603158,0.10841253116556453,7.52226710455e-05,101.03423174182373
116.48296593186373,78.96449788477388,0.004827031026739688,0.40083340725634287,0.10825209573272605,7.52226710455e-05,100.96837025734403
116.83366733466934,78.9107377202548,0.004785784650103743,0.40085005552812014,0.10809169385896168,7.52226710455e-05,100.90247354165844
117.18436873747495,78.85696332622904,0.00474507954533693,0.40086332494239,0.10793131265273581,7.52226710455e-05,100.83654894189998
117.53507014028057,78.80314509697831,0.004704883955495184,0.40087590497651165,0.10777093519120731,7.52226710455e-05,100.77060323300162
117.88577154308618,78.74928402853828,0.004665191093691979,0.4008878337259916,0.10761056104582045,7.52226710455e-05,100.70463472920193
118.23647294589179,78.69538112382351,0.00462599427983722,0.4008991487039663,0.10745018979169069,7.52226710455e-05,100.63864174299866
118.5871743486974,78.64143738596242,0.00458728693372962,0.400909887423572,0.10728982100393362,7.52226710455e-05,100.57262258688957
118.93787575150301,78.58745381829875,0.004549062573502432,0.4009200873979447,0.10712945425766478,7.52226710455e-05,100.50657557337237
119.28857715430863,78.53343142439269,0.00451131481409488,0.40092978614022096,0.10696908912799966,7.52226710455e-05,100.44049901494488
119.63927855711424,78.47937120802212,0.00447403736574888,0.40093902116353686,0.1068087251900538,7.52226710455e-05,100.37439122410478
119.98997995991984,78.42527417318396,0.0044372240325305555,0.40094782998102874,0.10664836201894276,7.52226710455e-05,100.30825051334985
120.34068136272545,78.37114132409526,0.004400868710876222,0.4009562501058329,0.10648799918978206,7.52226710455e-05,100.24207519517785
120.69138276553106,78.31697366519441,0.004364965388162307,0.4009643190510855,0.10632763627768725,7.52226710455e-05,100.17586358208649
121.04208416833667,78.26277220114238,0.004329508141298925,0.40097207432992277,0.10616727285777385,7.52226710455e-05,100.10961398657356
121.39278557114228,78.20853793682382,0.0042944911353465995,0.40097955345548103,0.10600690850515736,7.52226710455e-05,100.0433247211368
121.7434869739479,78.15427187734818,0.0042599086221557746,0.4009867939408966,0.10584654279495337,7.52226710455e-05,99.97699409827392
122.09418837675351,78.09997502805098,0.004225754939028823,0.40099383329930566,0.10568617530227739,7.52226710455e-05,99.91062043048272
122.44488977955912,78.04564839449475,0.004192024507403955,0.40100070904384444,0.10552580560224495,7.52226710455e-05,99.84420203026094
122.79559118236473,77.99129298247026,0.004158711831560907,0.40100745868764925,0.10536543326997157,7.52226710455e-05,99.7777372101063
123.14629258517034,77.93690979799747,0.004125811497347827,0.40101411974385637,0.10520505788057283,7.52226710455e-05,99.71122428251657
123.49699398797596,77.88249984732674,0.004093318170929174,0.40102072972560193,0.10504467900916421,7.52226710455e-05,99.64466155998949
123.84769539078157,77.82806413693982,0.004061226597554116,0.40102732614602243,0.1048842962308613,7.52226710455e-05,99.57804735502282
124.19839679358718,77.77360367355082,0.004029531600345223,0.4010339465182539,0.10472390912077957,7.52226710455e-05,99.51137998011428
124.54909819639279,77.71911946410731,0.003998228079107018,0.40104062835543264,0.1045635172540346,7.52226710455e-05,99.44465774776167
124.8997995991984,77.66461251579128,0.003967311009154074,0.401047409170695,0.1044031202057419,7.52226710455e-05,99.37787897046272
